,act_fun,batch_size,dropout_frac,lr,n_epochs,neuron_layers,optimizer,patience,tol,weight_decay,F1,Acc
219,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
218,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
157,<function selu at 0x7f5bf5c0bba0>,256,0.8,0.0001,300,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
11,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
299,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
13,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,300,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
10,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
72,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
73,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
302,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
303,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.4666666666666667,0.8024691358024691
12,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,300,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
298,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.4666666666666667,0.8024691358024691
531,<function selu at 0x7f5bf5c0bba0>,64,0.75,0.001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.463768115942029,0.7716049382716049
530,<function selu at 0x7f5bf5c0bba0>,64,0.75,0.001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.463768115942029,0.7716049382716049
601,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.46153846153846156,0.7839506172839507
600,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.001,200,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.46153846153846156,0.7839506172839507
586,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
20,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
21,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
587,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,250,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
235,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
87,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
581,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
308,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
585,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
584,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,250,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
383,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
580,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
234,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,350,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
309,<function selu at 0x7f5bf5c0bba0>,128,0.75,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
86,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,300,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
382,<function selu at 0x7f5bf5c0bba0>,128,0.8,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
229,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,300,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
2,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
3,<function selu at 0x7f5bf5c0bba0>,256,0.7,0.0001,200,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
92,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
93,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,350,"[5000, 2500, 1000, 250, 125]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
94,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
95,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
220,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
79,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
221,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,200,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
78,<function selu at 0x7f5bf5c0bba0>,256,0.75,0.0001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
599,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,1e-05,0.0001,0.45901639344262296,0.7962962962962963
598,<function selu at 0x7f5bf5c0bba0>,64,0.8,0.0001,350,"[5000, 2500, 1000, 250, 50]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
222,<function selu at 0x7f5bf5c0bba0>,128,0.7,0.0001,250,"[5000, 2500, 1000, 250]",<class 'torch.optim.adamw.AdamW'>,50,0.0,0.0001,0.45901639344262296,0.7962962962962963
